id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
1,BE_Battery,2030,1,1,6,0.0
2,BE_Battery,2030,1,7,12,0.0
3,BE_Battery,2030,1,13,18,0.0
4,BE_Battery,2030,1,19,24,0.0
5,BE_Battery,2030,2,1,6,0.0
6,BE_Battery,2030,2,7,12,0.0
7,BE_Battery,2030,2,13,18,0.0
8,BE_Battery,2030,2,19,24,0.0
9,BE_Battery,2030,3,1,6,0.0
10,BE_Battery,2030,3,7,12,0.0
11,BE_Battery,2030,3,13,18,0.0
12,BE_Battery,2030,3,19,24,0.0
13,BE_Battery,2030,4,1,6,0.0
14,BE_Battery,2030,4,7,12,-2.1666
15,BE_Battery,2030,4,13,18,0.0
16,BE_Battery,2030,4,19,24,0.0
17,BE_Battery,2030,5,1,6,0.0
18,BE_Battery,2030,5,7,12,0.0
19,BE_Battery,2030,5,13,18,0.0
20,BE_Battery,2030,5,19,24,0.0
21,BE_Battery,2030,6,1,6,0.0
22,BE_Battery,2030,6,7,12,0.0
23,BE_Battery,2030,6,13,18,0.0
24,BE_Battery,2030,6,19,24,0.0
25,BE_Battery,2030,7,1,6,0.0
26,BE_Battery,2030,7,7,12,0.0
27,BE_Battery,2030,7,13,18,0.0
28,BE_Battery,2030,7,19,24,0.0
29,BE_Battery,2030,8,1,6,0.0
30,BE_Battery,2030,8,7,12,0.0
31,BE_Battery,2030,8,13,18,0.0
32,BE_Battery,2030,8,19,24,0.0
33,BE_Battery,2030,9,1,6,0.0
34,BE_Battery,2030,9,7,12,0.0
35,BE_Battery,2030,9,13,18,0.0
36,BE_Battery,2030,9,19,24,0.0
37,BE_Battery,2030,10,1,6,0.0
38,BE_Battery,2030,10,7,12,0.0
39,BE_Battery,2030,10,13,18,-0.8201657056662857
40,BE_Battery,2030,10,19,24,0.0
41,BE_CCGT,2030,1,1,6,0.0
42,BE_CCGT,2030,1,7,12,0.0
43,BE_CCGT,2030,1,13,18,0.0
44,BE_CCGT,2030,1,19,24,0.0
45,BE_CCGT,2030,2,1,6,0.0
46,BE_CCGT,2030,2,7,12,0.0
47,BE_CCGT,2030,2,13,18,0.0
48,BE_CCGT,2030,2,19,24,0.0
49,BE_CCGT,2030,3,1,6,0.0
50,BE_CCGT,2030,3,7,12,0.0
51,BE_CCGT,2030,3,13,18,0.0
52,BE_CCGT,2030,3,19,24,0.0
53,BE_CCGT,2030,4,1,6,0.0
54,BE_CCGT,2030,4,7,12,0.0
55,BE_CCGT,2030,4,13,18,0.0
56,BE_CCGT,2030,4,19,24,0.0
57,BE_CCGT,2030,5,1,6,0.0
58,BE_CCGT,2030,5,7,12,0.0
59,BE_CCGT,2030,5,13,18,0.0
60,BE_CCGT,2030,5,19,24,0.0
61,BE_CCGT,2030,6,1,6,0.0
62,BE_CCGT,2030,6,7,12,0.0
63,BE_CCGT,2030,6,13,18,0.0
64,BE_CCGT,2030,6,19,24,0.0
65,BE_CCGT,2030,7,1,6,0.0
66,BE_CCGT,2030,7,7,12,-3.9959999999999987
67,BE_CCGT,2030,7,13,18,-3.9959999999999987
68,BE_CCGT,2030,7,19,24,-60.3423599396641
69,BE_CCGT,2030,8,1,6,0.0
70,BE_CCGT,2030,8,7,12,0.0
71,BE_CCGT,2030,8,13,18,0.0
72,BE_CCGT,2030,8,19,24,0.0
73,BE_CCGT,2030,9,1,6,0.0
74,BE_CCGT,2030,9,7,12,0.0
75,BE_CCGT,2030,9,13,18,0.0
76,BE_CCGT,2030,9,19,24,0.0
77,BE_CCGT,2030,10,1,6,0.0
78,BE_CCGT,2030,10,7,12,0.0
79,BE_CCGT,2030,10,13,18,-4.967999999999998
80,BE_CCGT,2030,10,19,24,0.0
81,BE_Coal,2030,1,1,6,0.0
82,BE_Coal,2030,1,7,12,-4.865399999999999
83,BE_Coal,2030,1,13,18,0.0
84,BE_Coal,2030,1,19,24,0.0
85,BE_Coal,2030,2,1,6,0.0
86,BE_Coal,2030,2,7,12,0.0
87,BE_Coal,2030,2,13,18,0.0
88,BE_Coal,2030,2,19,24,0.0
89,BE_Coal,2030,3,1,6,0.0
90,BE_Coal,2030,3,7,12,0.0
91,BE_Coal,2030,3,13,18,0.0
92,BE_Coal,2030,3,19,24,0.0
93,BE_Coal,2030,4,1,6,0.0
94,BE_Coal,2030,4,7,12,0.0
95,BE_Coal,2030,4,13,18,0.0
96,BE_Coal,2030,4,19,24,0.0
97,BE_Coal,2030,5,1,6,0.0
98,BE_Coal,2030,5,7,12,0.0
99,BE_Coal,2030,5,13,18,0.0
100,BE_Coal,2030,5,19,24,0.0
101,BE_Coal,2030,6,1,6,0.0
102,BE_Coal,2030,6,7,12,0.0
103,BE_Coal,2030,6,13,18,0.0
104,BE_Coal,2030,6,19,24,0.0
105,BE_Coal,2030,7,1,6,-3.3966000000000003
106,BE_Coal,2030,7,7,12,-7.392599999999999
107,BE_Coal,2030,7,13,18,-7.392599999999999
108,BE_Coal,2030,7,19,24,-63.7389599396641
109,BE_Coal,2030,8,1,6,0.0
110,BE_Coal,2030,8,7,12,0.0
111,BE_Coal,2030,8,13,18,0.0
112,BE_Coal,2030,8,19,24,0.0
113,BE_Coal,2030,9,1,6,0.0
114,BE_Coal,2030,9,7,12,0.0
115,BE_Coal,2030,9,13,18,0.0
116,BE_Coal,2030,9,19,24,0.0
117,BE_Coal,2030,10,1,6,-4.2228
118,BE_Coal,2030,10,7,12,-4.2228
119,BE_Coal,2030,10,13,18,-9.1908
120,BE_Coal,2030,10,19,24,-4.2228
121,BE_Nuclear,2030,1,1,6,-2.9574000000000007
122,BE_Nuclear,2030,1,7,12,-7.8228
123,BE_Nuclear,2030,1,13,18,-2.9574000000000007
124,BE_Nuclear,2030,1,19,24,-2.9574000000000007
125,BE_Nuclear,2030,2,1,6,0.0
126,BE_Nuclear,2030,2,7,12,-1.8414000000000001
127,BE_Nuclear,2030,2,13,18,-1.8414000000000001
128,BE_Nuclear,2030,2,19,24,-1.8414000000000001
129,BE_Nuclear,2030,3,1,6,0.0
130,BE_Nuclear,2030,3,7,12,0.0
131,BE_Nuclear,2030,3,13,18,0.0
132,BE_Nuclear,2030,3,19,24,0.0
133,BE_Nuclear,2030,4,1,6,0.0
134,BE_Nuclear,2030,4,7,12,-1.2834
135,BE_Nuclear,2030,4,13,18,0.0
136,BE_Nuclear,2030,4,19,24,-1.2834
137,BE_Nuclear,2030,5,1,6,0.0
138,BE_Nuclear,2030,5,7,12,0.0
139,BE_Nuclear,2030,5,13,18,0.0
140,BE_Nuclear,2030,5,19,24,0.0
141,BE_Nuclear,2030,6,1,6,-1.0044
142,BE_Nuclear,2030,6,7,12,-1.0044
143,BE_Nuclear,2030,6,13,18,0.0
144,BE_Nuclear,2030,6,19,24,-1.0044
145,BE_Nuclear,2030,7,1,6,-5.461200000000001
146,BE_Nuclear,2030,7,7,12,-9.4572
147,BE_Nuclear,2030,7,13,18,-9.4572
148,BE_Nuclear,2030,7,19,24,-65.8035599396641
149,BE_Nuclear,2030,8,1,6,0.0
150,BE_Nuclear,2030,8,7,12,0.0
151,BE_Nuclear,2030,8,13,18,0.0
152,BE_Nuclear,2030,8,19,24,0.0
153,BE_Nuclear,2030,9,1,6,0.0
154,BE_Nuclear,2030,9,7,12,0.0
155,BE_Nuclear,2030,9,13,18,0.0
156,BE_Nuclear,2030,9,19,24,-2.3994000000000004
157,BE_Nuclear,2030,10,1,6,-6.7896
158,BE_Nuclear,2030,10,7,12,-6.7896
159,BE_Nuclear,2030,10,13,18,-11.757599999999998
160,BE_Nuclear,2030,10,19,24,-6.7896
161,BE_OCGT,2030,1,1,6,0.0
162,BE_OCGT,2030,1,7,12,0.0
163,BE_OCGT,2030,1,13,18,0.0
164,BE_OCGT,2030,1,19,24,0.0
165,BE_OCGT,2030,2,1,6,0.0
166,BE_OCGT,2030,2,7,12,0.0
167,BE_OCGT,2030,2,13,18,0.0
168,BE_OCGT,2030,2,19,24,0.0
169,BE_OCGT,2030,3,1,6,0.0
170,BE_OCGT,2030,3,7,12,0.0
171,BE_OCGT,2030,3,13,18,0.0
172,BE_OCGT,2030,3,19,24,0.0
173,BE_OCGT,2030,4,1,6,0.0
174,BE_OCGT,2030,4,7,12,0.0
175,BE_OCGT,2030,4,13,18,0.0
176,BE_OCGT,2030,4,19,24,0.0
177,BE_OCGT,2030,5,1,6,0.0
178,BE_OCGT,2030,5,7,12,0.0
179,BE_OCGT,2030,5,13,18,0.0
180,BE_OCGT,2030,5,19,24,0.0
181,BE_OCGT,2030,6,1,6,0.0
182,BE_OCGT,2030,6,7,12,0.0
183,BE_OCGT,2030,6,13,18,0.0
184,BE_OCGT,2030,6,19,24,0.0
185,BE_OCGT,2030,7,1,6,0.0
186,BE_OCGT,2030,7,7,12,0.0
187,BE_OCGT,2030,7,13,18,0.0
188,BE_OCGT,2030,7,19,24,-56.3463599396641
189,BE_OCGT,2030,8,1,6,0.0
190,BE_OCGT,2030,8,7,12,0.0
191,BE_OCGT,2030,8,13,18,0.0
192,BE_OCGT,2030,8,19,24,0.0
193,BE_OCGT,2030,9,1,6,0.0
194,BE_OCGT,2030,9,7,12,0.0
195,BE_OCGT,2030,9,13,18,0.0
196,BE_OCGT,2030,9,19,24,0.0
197,BE_OCGT,2030,10,1,6,0.0
198,BE_OCGT,2030,10,7,12,0.0
199,BE_OCGT,2030,10,13,18,0.0
200,BE_OCGT,2030,10,19,24,0.0
201,BE_Solar,2030,1,1,6,-5.6286000000000005
202,BE_Solar,2030,1,7,12,-10.494
203,BE_Solar,2030,1,13,18,-5.6286000000000005
204,BE_Solar,2030,1,19,24,-5.6286000000000005
205,BE_Solar,2030,2,1,6,-0.396
206,BE_Solar,2030,2,7,12,-3.5046
207,BE_Solar,2030,2,13,18,-3.5046
208,BE_Solar,2030,2,19,24,-3.5046
209,BE_Solar,2030,3,1,6,-0.34800000000000003
210,BE_Solar,2030,3,7,12,-0.34800000000000003
211,BE_Solar,2030,3,13,18,-0.34800000000000003
212,BE_Solar,2030,3,19,24,-0.34800000000000003
213,BE_Solar,2030,4,1,6,-0.276
214,BE_Solar,2030,4,7,12,-2.4426
215,BE_Solar,2030,4,13,18,-0.276
216,BE_Solar,2030,4,19,24,-2.4426
217,BE_Solar,2030,5,1,6,-0.624
218,BE_Solar,2030,5,7,12,-0.624
219,BE_Solar,2030,5,13,18,-0.624
220,BE_Solar,2030,5,19,24,-0.624
221,BE_Solar,2030,6,1,6,-1.9116
222,BE_Solar,2030,6,7,12,-1.9116
223,BE_Solar,2030,6,13,18,-0.216
224,BE_Solar,2030,6,19,24,-1.9116
225,BE_Solar,2030,7,1,6,-7.3260000000000005
226,BE_Solar,2030,7,7,12,-11.322
227,BE_Solar,2030,7,13,18,-11.322
228,BE_Solar,2030,7,19,24,-67.6683599396641
229,BE_Solar,2030,8,1,6,-0.372
230,BE_Solar,2030,8,7,12,-0.372
231,BE_Solar,2030,8,13,18,-0.372
232,BE_Solar,2030,8,19,24,-0.372
233,BE_Solar,2030,9,1,6,-0.516
234,BE_Solar,2030,9,7,12,-0.516
235,BE_Solar,2030,9,13,18,-0.516
236,BE_Solar,2030,9,19,24,-4.5666
237,BE_Solar,2030,10,1,6,-9.108
238,BE_Solar,2030,10,7,12,-9.108
239,BE_Solar,2030,10,13,18,-14.075999999999999
240,BE_Solar,2030,10,19,24,-9.108
241,BE_Wind_Offshore,2030,1,1,6,-4.9926
242,BE_Wind_Offshore,2030,1,7,12,-9.858
243,BE_Wind_Offshore,2030,1,13,18,-4.9926
244,BE_Wind_Offshore,2030,1,19,24,-4.9926
245,BE_Wind_Offshore,2030,2,1,6,0.0
246,BE_Wind_Offshore,2030,2,7,12,-3.1086
247,BE_Wind_Offshore,2030,2,13,18,-3.1086
248,BE_Wind_Offshore,2030,2,19,24,-3.1086
249,BE_Wind_Offshore,2030,3,1,6,0.0
250,BE_Wind_Offshore,2030,3,7,12,0.0
251,BE_Wind_Offshore,2030,3,13,18,0.0
252,BE_Wind_Offshore,2030,3,19,24,0.0
253,BE_Wind_Offshore,2030,4,1,6,0.0
254,BE_Wind_Offshore,2030,4,7,12,-2.1666
255,BE_Wind_Offshore,2030,4,13,18,0.0
256,BE_Wind_Offshore,2030,4,19,24,-2.1666
257,BE_Wind_Offshore,2030,5,1,6,0.0
258,BE_Wind_Offshore,2030,5,7,12,0.0
259,BE_Wind_Offshore,2030,5,13,18,0.0
260,BE_Wind_Offshore,2030,5,19,24,0.0
261,BE_Wind_Offshore,2030,6,1,6,-1.6956
262,BE_Wind_Offshore,2030,6,7,12,-1.6956
263,BE_Wind_Offshore,2030,6,13,18,0.0
264,BE_Wind_Offshore,2030,6,19,24,-1.6956
265,BE_Wind_Offshore,2030,7,1,6,-6.882000000000001
266,BE_Wind_Offshore,2030,7,7,12,-10.877999999999998
267,BE_Wind_Offshore,2030,7,13,18,-10.877999999999998
268,BE_Wind_Offshore,2030,7,19,24,-67.2243599396641
269,BE_Wind_Offshore,2030,8,1,6,0.0
270,BE_Wind_Offshore,2030,8,7,12,0.0
271,BE_Wind_Offshore,2030,8,13,18,0.0
272,BE_Wind_Offshore,2030,8,19,24,0.0
273,BE_Wind_Offshore,2030,9,1,6,0.0
274,BE_Wind_Offshore,2030,9,7,12,0.0
275,BE_Wind_Offshore,2030,9,13,18,0.0
276,BE_Wind_Offshore,2030,9,19,24,-4.0506
277,BE_Wind_Offshore,2030,10,1,6,-8.556000000000001
278,BE_Wind_Offshore,2030,10,7,12,-8.556000000000001
279,BE_Wind_Offshore,2030,10,13,18,-13.524
280,BE_Wind_Offshore,2030,10,19,24,-8.556000000000001
281,BE_Wind_Onshore,2030,1,1,6,-4.9926
282,BE_Wind_Onshore,2030,1,7,12,-9.858
283,BE_Wind_Onshore,2030,1,13,18,-4.9926
284,BE_Wind_Onshore,2030,1,19,24,-4.9926
285,BE_Wind_Onshore,2030,2,1,6,0.0
286,BE_Wind_Onshore,2030,2,7,12,-3.1086
287,BE_Wind_Onshore,2030,2,13,18,-3.1086
288,BE_Wind_Onshore,2030,2,19,24,-3.1086
289,BE_Wind_Onshore,2030,3,1,6,0.0
290,BE_Wind_Onshore,2030,3,7,12,0.0
291,BE_Wind_Onshore,2030,3,13,18,0.0
292,BE_Wind_Onshore,2030,3,19,24,0.0
293,BE_Wind_Onshore,2030,4,1,6,0.0
294,BE_Wind_Onshore,2030,4,7,12,-2.1666
295,BE_Wind_Onshore,2030,4,13,18,0.0
296,BE_Wind_Onshore,2030,4,19,24,-2.1666
297,BE_Wind_Onshore,2030,5,1,6,0.0
298,BE_Wind_Onshore,2030,5,7,12,0.0
299,BE_Wind_Onshore,2030,5,13,18,0.0
300,BE_Wind_Onshore,2030,5,19,24,0.0
301,BE_Wind_Onshore,2030,6,1,6,-1.6956
302,BE_Wind_Onshore,2030,6,7,12,-1.6956
303,BE_Wind_Onshore,2030,6,13,18,0.0
304,BE_Wind_Onshore,2030,6,19,24,-1.6956
305,BE_Wind_Onshore,2030,7,1,6,-6.882000000000001
306,BE_Wind_Onshore,2030,7,7,12,-10.877999999999998
307,BE_Wind_Onshore,2030,7,13,18,-10.877999999999998
308,BE_Wind_Onshore,2030,7,19,24,-67.2243599396641
309,BE_Wind_Onshore,2030,8,1,6,0.0
310,BE_Wind_Onshore,2030,8,7,12,0.0
311,BE_Wind_Onshore,2030,8,13,18,0.0
312,BE_Wind_Onshore,2030,8,19,24,0.0
313,BE_Wind_Onshore,2030,9,1,6,0.0
314,BE_Wind_Onshore,2030,9,7,12,0.0
315,BE_Wind_Onshore,2030,9,13,18,0.0
316,BE_Wind_Onshore,2030,9,19,24,-4.0506
317,BE_Wind_Onshore,2030,10,1,6,-8.556000000000001
318,BE_Wind_Onshore,2030,10,7,12,-8.556000000000001
319,BE_Wind_Onshore,2030,10,13,18,-13.524
320,BE_Wind_Onshore,2030,10,19,24,-8.556000000000001
321,CH_Battery,2030,1,1,6,0.0
322,CH_Battery,2030,1,7,12,0.0
323,CH_Battery,2030,1,13,18,0.0
324,CH_Battery,2030,1,19,24,0.0
325,CH_Battery,2030,2,1,6,0.0
326,CH_Battery,2030,2,7,12,0.0
327,CH_Battery,2030,2,13,18,0.0
328,CH_Battery,2030,2,19,24,0.0
329,CH_Battery,2030,3,1,6,0.0
330,CH_Battery,2030,3,7,12,0.0
331,CH_Battery,2030,3,13,18,0.0
332,CH_Battery,2030,3,19,24,0.0
333,CH_Battery,2030,4,1,6,0.0
334,CH_Battery,2030,4,7,12,0.0
335,CH_Battery,2030,4,13,18,0.0
336,CH_Battery,2030,4,19,24,0.0
337,CH_Battery,2030,5,1,6,0.0
338,CH_Battery,2030,5,7,12,0.0
339,CH_Battery,2030,5,13,18,0.0
340,CH_Battery,2030,5,19,24,0.0
341,CH_Battery,2030,6,1,6,0.0
342,CH_Battery,2030,6,7,12,0.0
343,CH_Battery,2030,6,13,18,0.0
344,CH_Battery,2030,6,19,24,0.0
345,CH_Battery,2030,7,1,6,0.0
346,CH_Battery,2030,7,7,12,0.0
347,CH_Battery,2030,7,13,18,0.0
348,CH_Battery,2030,7,19,24,-2.4179657056663046
349,CH_Battery,2030,8,1,6,0.0
350,CH_Battery,2030,8,7,12,0.0
351,CH_Battery,2030,8,13,18,0.0
352,CH_Battery,2030,8,19,24,0.0
353,CH_Battery,2030,9,1,6,0.0
354,CH_Battery,2030,9,7,12,0.0
355,CH_Battery,2030,9,13,18,0.0
356,CH_Battery,2030,9,19,24,0.0
357,CH_Battery,2030,10,1,6,0.0
358,CH_Battery,2030,10,7,12,0.0
359,CH_Battery,2030,10,13,18,0.0
360,CH_Battery,2030,10,19,24,0.0
361,CH_CCGT,2030,1,1,6,0.0
362,CH_CCGT,2030,1,7,12,0.0
363,CH_CCGT,2030,1,13,18,0.0
364,CH_CCGT,2030,1,19,24,0.0
365,CH_CCGT,2030,2,1,6,0.0
366,CH_CCGT,2030,2,7,12,0.0
367,CH_CCGT,2030,2,13,18,0.0
368,CH_CCGT,2030,2,19,24,0.0
369,CH_CCGT,2030,3,1,6,0.0
370,CH_CCGT,2030,3,7,12,0.0
371,CH_CCGT,2030,3,13,18,0.0
372,CH_CCGT,2030,3,19,24,-3.131999999999999
373,CH_CCGT,2030,4,1,6,0.0
374,CH_CCGT,2030,4,7,12,0.0
375,CH_CCGT,2030,4,13,18,0.0
376,CH_CCGT,2030,4,19,24,-2.483999999999999
377,CH_CCGT,2030,5,1,6,0.0
378,CH_CCGT,2030,5,7,12,0.0
379,CH_CCGT,2030,5,13,18,0.0
380,CH_CCGT,2030,5,19,24,0.0
381,CH_CCGT,2030,6,1,6,0.0
382,CH_CCGT,2030,6,7,12,0.0
383,CH_CCGT,2030,6,13,18,0.0
384,CH_CCGT,2030,6,19,24,0.0
385,CH_CCGT,2030,7,1,6,0.0
386,CH_CCGT,2030,7,7,12,0.0
387,CH_CCGT,2030,7,13,18,0.0
388,CH_CCGT,2030,7,19,24,-60.3423599396641
389,CH_CCGT,2030,8,1,6,0.0
390,CH_CCGT,2030,8,7,12,0.0
391,CH_CCGT,2030,8,13,18,0.0
392,CH_CCGT,2030,8,19,24,0.0
393,CH_CCGT,2030,9,1,6,0.0
394,CH_CCGT,2030,9,7,12,0.0
395,CH_CCGT,2030,9,13,18,0.0
396,CH_CCGT,2030,9,19,24,0.0
397,CH_CCGT,2030,10,1,6,0.0
398,CH_CCGT,2030,10,7,12,0.0
399,CH_CCGT,2030,10,13,18,0.0
400,CH_CCGT,2030,10,19,24,0.0
401,CH_Coal,2030,1,1,6,0.0
402,CH_Coal,2030,1,7,12,0.0
403,CH_Coal,2030,1,13,18,0.0
404,CH_Coal,2030,1,19,24,0.0
405,CH_Coal,2030,2,1,6,0.0
406,CH_Coal,2030,2,7,12,0.0
407,CH_Coal,2030,2,13,18,0.0
408,CH_Coal,2030,2,19,24,0.0
409,CH_Coal,2030,3,1,6,-2.6622
410,CH_Coal,2030,3,7,12,-2.6622
411,CH_Coal,2030,3,13,18,0.0
412,CH_Coal,2030,3,19,24,-5.794199999999998
413,CH_Coal,2030,4,1,6,0.0
414,CH_Coal,2030,4,7,12,0.0
415,CH_Coal,2030,4,13,18,0.0
416,CH_Coal,2030,4,19,24,-4.5954
417,CH_Coal,2030,5,1,6,0.0
418,CH_Coal,2030,5,7,12,0.0
419,CH_Coal,2030,5,13,18,0.0
420,CH_Coal,2030,5,19,24,0.0
421,CH_Coal,2030,6,1,6,0.0
422,CH_Coal,2030,6,7,12,0.0
423,CH_Coal,2030,6,13,18,0.0
424,CH_Coal,2030,6,19,24,0.0
425,CH_Coal,2030,7,1,6,-3.3966000000000003
426,CH_Coal,2030,7,7,12,-3.3966000000000003
427,CH_Coal,2030,7,13,18,0.0
428,CH_Coal,2030,7,19,24,-63.7389599396641
429,CH_Coal,2030,8,1,6,0.0
430,CH_Coal,2030,8,7,12,0.0
431,CH_Coal,2030,8,13,18,0.0
432,CH_Coal,2030,8,19,24,0.0
433,CH_Coal,2030,9,1,6,0.0
434,CH_Coal,2030,9,7,12,0.0
435,CH_Coal,2030,9,13,18,0.0
436,CH_Coal,2030,9,19,24,0.0
437,CH_Coal,2030,10,1,6,-4.2228
438,CH_Coal,2030,10,7,12,-4.2228
439,CH_Coal,2030,10,13,18,-4.2228
440,CH_Coal,2030,10,19,24,-4.2228
441,CH_Nuclear,2030,1,1,6,-2.9574000000000007
442,CH_Nuclear,2030,1,7,12,-2.9574000000000007
443,CH_Nuclear,2030,1,13,18,-2.9574000000000007
444,CH_Nuclear,2030,1,19,24,-2.9574000000000007
445,CH_Nuclear,2030,2,1,6,-1.8414000000000001
446,CH_Nuclear,2030,2,7,12,-1.8414000000000001
447,CH_Nuclear,2030,2,13,18,-1.8414000000000001
448,CH_Nuclear,2030,2,19,24,-1.8414000000000001
449,CH_Nuclear,2030,3,1,6,-4.2804
450,CH_Nuclear,2030,3,7,12,-4.2804
451,CH_Nuclear,2030,3,13,18,-1.6182
452,CH_Nuclear,2030,3,19,24,-7.412399999999999
453,CH_Nuclear,2030,4,1,6,-1.2834
454,CH_Nuclear,2030,4,7,12,-1.2834
455,CH_Nuclear,2030,4,13,18,-1.2834
456,CH_Nuclear,2030,4,19,24,-5.878799999999999
457,CH_Nuclear,2030,5,1,6,-2.9016
458,CH_Nuclear,2030,5,7,12,-2.9016
459,CH_Nuclear,2030,5,13,18,-2.9016
460,CH_Nuclear,2030,5,19,24,-2.9016
461,CH_Nuclear,2030,6,1,6,-1.0044
462,CH_Nuclear,2030,6,7,12,-1.0044
463,CH_Nuclear,2030,6,13,18,0.0
464,CH_Nuclear,2030,6,19,24,-1.0044
465,CH_Nuclear,2030,7,1,6,-5.461200000000001
